elite_idx,centroid_x,centroid_y,situation_x,situation_y,situation_vec_0,situation_vec_1,situation_vec_2,situation_vec_3,situation_vec_4,situation_vec_5,situation_vec_6,situation_vec_7,situation_vec_8,situation_vec_9,situation_vec_10,situation_vec_11,command_0,command_1,command_2,command_3,command_4,command_5,command_6,command_7,command_8,command_9,command_10,command_11,command_12,command_13,command_14,command_15,command_16,command_17,command_18,command_19,command_20,command_21,command_22,command_23,command_24,command_25,command_26,command_27,command_28,command_29,command_30,command_31,command_32,command_33,command_34,command_35,fitness,kind,iteration
1789,0.1546011124052853,0.1328286557463796,0.6473893579982639,0.4393898557426994,0.15118650212053072,0.10676026067852179,0.12028440790984112,0.10181038292206879,0.10235049498775975,0.06499730937954169,0.053804538077000835,0.10629012472588549,0.08995757755292885,0.04155636014420414,0.0410717012812542,0.10670955396142581,0.6940277133000833,0.8413037451028,0.8178964818712874,0.1002466411474566,0.6440230538043721,0.03404662192187796,0.9551383348873551,0.30592749753940573,0.5305274298152964,0.6608443877340697,0.9550622813399192,0.38055633385841564,0.4981433499004929,0.15631710032262885,0.7799075895351477,0.10751797725879998,0.9932230551939707,0.39389483338312486,0.980450794817236,0.3346360906454767,0.663107159708496,0.9378908085859093,0.4252119035210706,0.4474007822060626,0.7559227198122194,0.5806458676594954,0.7783842617732103,0.7912457429217945,0.705840303792989,0.521855470451094,0.9903651609733054,0.9355333804620296,0.5756053289987971,0.7166640909214232,0.9416257351689464,0.5906283752063789,0.9139428594311665,sbx_closest2parent,988039
519,0.10765551249179163,0.1601579723984119,0.6507971124017287,0.4624796266532536,0.09363942718945106,0.1389286451910385,0.1141937185418263,0.09250495635828765,0.08008095035581647,0.13144941476530875,0.08682486967248014,0.07940690012392705,0.1022195298650605,0.07726484288691295,0.04797171473441839,0.06879176937045453,0.5297659427717265,0.852013418565329,0.7310733884596435,0.03260357820410767,0.7160833748807487,0.686371709851128,0.8826286096748825,0.3706168296402417,0.5610618658749473,0.5037982687380294,0.8885655908638066,0.35913834319962645,0.8218287496434125,0.13427278576831228,0.8298214774673087,0.2467100603627717,0.9899146978273287,0.8988045699749175,0.9957034378766445,0.36066492857175975,0.6393394207539987,0.9098079998310514,0.43650833157726804,0.42774876328971684,0.9749316254748381,0.699568810099867,0.6126167364196216,0.4484071685702724,0.6798046212072064,0.4028988753895333,0.9990595392562424,0.9554873095668925,0.5569175523286054,0.7577280438796632,0.9639391949551497,0.5511684566722044,0.8735682634185612,sbx_closest2parent,982404
1945,0.10358633315019584,0.1154425416905425,0.6531885830400483,0.505834985244775,0.09561398679179148,0.09737596621387912,0.10795331872684735,0.1369576787368451,0.118102055382239,0.09718557718844628,0.024694220556959988,0.07731708835567312,0.10175762487492075,0.10208003871767926,0.09140087914757054,0.1085851335919713,0.4074443133047455,0.7830558814898788,0.7742628865150423,0.14348226750408336,0.44170182842865224,0.13868594324098604,0.8624951378762978,0.37939428216448307,0.5254992421668934,0.43686041835354467,0.9040180702534931,0.30965191067544595,0.8871580617620246,0.12891802553838816,0.8339392632009,0.11184784382789606,0.8949439284285312,0.6368481597484493,0.9394179151004126,0.361685281588231,0.6187084297880612,0.8926031011814717,0.41562448272461855,0.3852816508945956,0.7034909439761542,0.5659444180597043,0.6496487631070169,0.5539231396703392,0.6120783544823671,0.47798631419867527,0.9837191933583359,0.9131552866216245,0.5203238280302196,0.7454704761518244,0.9642048823585735,0.5816024448719702,0.8017459760452618,sbx_closest2parent,830872
1916,0.13230316553560512,0.11297679057520985,0.6588969385394067,0.4342090296528705,0.14425584713882814,0.08841985948701966,0.09572957005339504,0.1152611943475622,0.09968772572859058,0.115542741784011,0.07004522087692204,0.08387978410503469,0.035040208213421555,0.0497990290971474,0.11129985251945818,0.08414493484088663,0.6813760000848894,0.8562429006492313,0.7603609626344903,0.0890270529476678,0.5492323578339714,0.4071079611765165,0.8746694619686669,0.35147411477362595,0.5331661573269568,0.6625323952605245,0.8999995674065512,0.20510931607019806,0.7736647929752994,0.1919540524874358,0.7879077223403887,0.12735471326095324,0.8385548460016408,0.4459854777332755,0.9309432723220047,0.3765056061502483,0.6496755978295645,0.992200690090259,0.3976782725305577,0.40899609739125087,0.9371883679297337,0.5036318653217955,0.5670444112346877,0.46195940126471524,0.7003395950350819,0.6712534149920868,0.996855298321812,0.9347156917429416,0.5619112277821859,0.6953490749247689,0.9195532231190616,0.5580125210836164,0.8209261806225393,sbx_closest2parent,952204
648,0.10528139191757636,0.13651263966073096,0.6705343658840688,0.4738649355007126,0.0948742443751529,0.1111634593359056,0.1408142362000695,0.15230321507718403,0.08422261958185182,0.08715659131390491,0.08818342715598168,0.07216782703336293,0.09903722916305868,0.05574876300099803,0.07903618907016687,0.0796915000771445,0.6518591459042167,0.8548696683305056,0.7863783290822691,0.1971507378441389,0.4456772709534902,0.45571664355016595,0.9075952875072876,0.35123738593285564,0.5639261082352797,0.5862779247896607,0.9269135560324075,0.2740642511639794,0.9055541698465623,0.13702572386570802,0.6829563886328877,0.11801137612139385,0.9495718961912636,0.39607618407610007,0.9733567649799886,0.3706809457649483,0.6837141709779498,0.9841166656108199,0.4202996156108471,0.4579984703193813,0.8836295191991302,0.6196568367508999,0.7873023533898467,0.2818410024628707,0.7020524213036231,0.5732058365313453,0.9953051307165747,0.9332793430994855,0.5765872408825762,0.7583392929354631,0.9499047291493213,0.5648516270350303,0.9578316386414255,sbx_closest2parent,972264
298,0.11923003958329478,0.10504461176257622,0.6717077007572918,0.4492787268506665,0.12920113912688788,0.11741013181376664,0.10888167720006489,0.11196149712383355,0.08959001395360677,0.1146632415391321,0.0592213902308016,0.0996635077925973,0.08646084484496341,0.1018313062212107,0.07654141722990151,0.025560260531191994,0.8969729733295555,0.8418446817151866,0.8862714811138535,0.03008435913296026,0.4418574899320672,0.6811350645960453,0.8897929986165827,0.3320520119729333,0.48336879391085164,0.6720749918648432,0.957207036455597,0.3639238298041621,0.9312332739392876,0.13952519940310001,0.6453803498053154,0.15816425724057723,0.9556303709976601,0.570244452527448,0.96202546288102,0.3604929442971791,0.7143703729091476,0.9332073022513994,0.35193458907920183,0.3902499410586658,0.7374317892229979,0.5723145044541902,0.7281133084791258,0.5847352387754695,0.6810834678401668,0.7051866247476821,0.9957375783114034,0.9404221114706559,0.5524611210321607,0.6838571615640757,0.958361606546672,0.5414498463397164,0.9092621760121112,sbx_closest2parent,818051
813,0.10300454830662675,0.15274976738239412,0.6734697004291322,0.5144225374124003,0.09324365111730734,0.1377083089250971,0.1465447506327105,0.0727917390111383,0.08709534544668475,0.13608590529619427,0.0703033533717619,0.07750537580608471,0.1013830150659644,0.08781583138071902,0.07454930574492248,0.10286565604294788,0.8832380510690677,0.8849928832852383,0.8884596219682126,0.015461358781868328,0.6696891837301591,0.8132273666299862,0.9718881951267313,0.3751931217701255,0.5828127903498637,0.5455194493961921,0.9279855975795563,0.2597428492880944,0.9601907154619239,0.14891471804773335,0.4751761342194344,0.1259122198125353,0.9566433236856321,0.5801885421994564,0.9998025074785811,0.35738432157191985,0.7429826875196185,0.8661888365135337,0.4219184207795353,0.4722288054230279,0.9816273252046226,0.5519439966478663,0.6594637480258202,0.6896871244682149,0.6627725928115809,0.7038817491639441,0.9849951573977749,0.9422583867222498,0.5703686220507292,0.6326988838646166,0.9579411238123756,0.5817098966030471,0.8875847351627881,sbx_closest2parent,860278
1737,0.13915447231558528,0.14926702192317787,0.6753821767497852,0.4551460744580885,0.0981412063453941,0.15605481632626259,0.07923818912855886,0.1389842192627847,0.08716959432201146,0.11579415136477343,0.07495607093570732,0.0556408490542601,0.12265761795681512,0.09609264324461601,0.05726167092062613,0.04853722234606384,0.4061227545518567,0.8887985227907912,0.7431380774416517,0.07287461455434469,0.4631424964370163,0.5514322320623541,0.9276369017535897,0.3720941315788355,0.5899872121560346,0.5307652222412322,0.9134585922004476,0.24275639197120272,0.7813942020677074,0.16884238577119237,0.7382256249138719,0.14656479816065573,0.9834120164453489,0.12740109752816314,0.9491208631581783,0.38331288293626065,0.6120729157339304,0.8628921088480205,0.4242621609847017,0.4382255365701298,0.9639304900777041,0.47621564403261557,0.6239567187386619,0.35531543912487246,0.7297963812219699,0.5514355343716948,0.9976617725443169,0.9358004795665009,0.5505692290765019,0.6894244484230541,0.9448614864450173,0.5574000373001543,0.8537311739380192,sbx_closest2parent,991916
415,0.1330797333819698,0.12342914645830835,0.6838608143769258,0.5306112670810734,0.1121298044306095,0.12112714690381841,0.08725940557100896,0.13586692684928198,0.12542610485961922,0.10205142576258772,0.084891528169791,0.07663852720135285,0.06892009049931468,0.10322452822597865,0.10181764873811008,0.09511894424652617,0.6903743961899416,0.821046822117542,0.6972785711321003,0.09822959604799716,0.5660841630362484,0.39945002288687964,0.8836752463964374,0.3305069147189482,0.4468660718678523,0.6250049751297652,0.9051293008860217,0.22953328040500295,0.9143240477126576,0.15301124103032887,0.6631374782129202,0.054612241744488275,0.989380262766817,0.5141906318951183,0.9505874452618739,0.36374167567041166,0.7151279322100722,0.9927118083061761,0.4418971361112688,0.4058644349835734,0.9055659883593055,0.4133439403901047,0.5831230470622796,0.9205557230167005,0.658968210562198,0.5927583322297656,0.9888547205456457,0.9361953982385922,0.5498202855549494,0.6592867095600019,0.9531014838475772,0.5652872932922058,1.0023296239529764,sbx_closest2parent,997827
1369,0.1513225194170175,0.1574559848406215,0.6841979448388644,0.5154320407195808,0.12926873738245578,0.1495003903875333,0.1276497490493169,0.0924632111941398,0.09821790609497288,0.08709795073044566,0.0999746646428521,0.057507439544359246,0.0627429182946057,0.08338938157715782,0.13561111177723456,0.07620652488337144,0.6898978789472958,0.8833281006991264,0.7185300925411435,0.017078159801946432,0.3802108669421685,0.24960040914867848,0.9445281619401336,0.34401661753362334,0.5134731368790877,0.6066250614184213,0.9609179288163687,0.2518770610907991,0.9981329064779187,0.15519617868225638,0.6740476480237907,0.13557333999625326,0.8530032696510914,0.3984830078780188,0.9733648096835906,0.36476044698149845,0.6502642162946134,0.9658406656934742,0.42268015786269925,0.47893723450419967,0.9770889235490869,0.5441164777783973,0.6049356175690883,0.5994117836829591,0.6323832232671684,0.6392711319607133,0.9893817404100741,0.962076840677667,0.5744159558203698,0.6324844079228554,0.9467644837352519,0.5763924557140041,0.9358628589954938,sbx_closest2parent,939083
